,section_id,s_node,e_node,length
10410,115330841,1303500758,1303500847,2
10411,115330843,1303500838,1303500873,3
10412,115330846,1303500887,1303500746,6
10413,115330848,1303500782,1303500756,8
10414,115332742,1303519786,1304706947,2
10415,115332743,1303519807,1303519839,2
10416,115332745,1303519853,1303519797,3
10417,115332750,1303519819,1303519774,3
10418,115332756,1303519761,1303519789,3
10419,115332759,1303519821,1303519863,2
10420,115332761,1303519849,1303519867,2
10421,115332763,1303519855,1303519878,3
10422,115332768,1303519879,1303519829,2
10423,115494683,1304706958,331211822,2
10424,115494687,331212798,331212799,2
10425,115494688,1304706893,1304706971,3
10426,115494689,331211827,77305568,2
10427,115494690,1304706880,1303519815,5
10428,115497444,1304730449,1210594655,4
10429,115497446,1304730690,1304730659,4
10430,115497450,1304730723,1304730490,2
10431,115497453,1304730538,320648579,3
10432,115497456,320648081,1304730579,4
10433,115497462,320648581,1304730398,3
10434,115497464,1304730482,1304730544,4
10435,115497478,1304730460,1304730642,3
10436,115497479,1304730570,1304730618,3
10437,115499697,1304748374,1408034359,13
10438,115499698,321717998,1304748250,6
10439,115499701,1304748390,1304748388,2
10440,115499702,1304748363,1304748374,3
10441,115499704,1304748389,1405951620,26
10442,115499706,1304748427,1304748426,2
10443,115499707,331216170,606865271,6
10444,115499708,1304748340,1304748389,2
10445,115505267,1304785222,1304785266,5
10446,115505284,1304785209,1304785158,2
10447,115505291,1304785246,1304785330,3
10448,115506854,4714905614,606745132,5
10449,115536554,1305021193,1305021195,2
10450,115536556,385028028,385028026,3
10451,115536557,353121773,4338071472,7
10452,115536558,385027249,1998588320,19
10453,115536559,385028028,726978522,15
10454,115584358,1243762702,343335096,3
10455,115584359,1243762702,380063289,5
10456,115620355,1305783011,281923900,4
10457,115645171,1305962926,1305962925,2
10458,115645281,380063255,380063289,3
10459,115645596,1305964558,748757976,5
10460,115646459,1305971019,1305964558,4
10461,115646460,1802656876,1305972664,14
10462,115646461,1305971020,1305971019,2
10463,115677923,1305971018,1305971020,4
10464,115692171,277524377,34710876,5
10465,115692459,1288652761,1802370463,2
10466,115706758,1306482850,1306482833,2
10467,115714351,1306566240,294123609,10
10468,115841408,4584008991,4584008992,4
10469,115951196,1308668304,1308668158,28
10470,115951197,1308668319,1308668348,4
10471,115951200,1654248068,648215997,64
10472,115951269,1308669917,3075540448,2
10473,115951271,648216004,1308669917,2
10474,116558770,1423628472,3401487108,11
10475,116920044,292591437,1317051598,7
10476,116920045,610852436,292591437,12
10477,116920046,237546599,1317051537,3
10478,116920047,339581063,1317051541,5
10479,116920048,1317051473,1317051691,2
10480,116920049,1317051717,1734208463,3
10481,116920050,1317051712,528606181,2
10482,116920051,610908313,610908274,7
10483,116920052,1317051680,1317051633,13
10484,116920053,1317051675,237546861,4
10485,116920054,1317051559,1317051460,4
10486,116920055,1317051537,1317051674,2
10487,116920056,1317051689,1317051523,2
10488,116920057,610909799,1317051607,2
10489,116920058,1317051591,1317051715,2
10490,116920059,1317051514,1317051675,2
10491,116920060,339581083,1317051512,2
10492,116920061,528606181,292584360,7
10493,116920062,249560947,249561048,23
10494,116920063,261615246,292590715,2
10495,116920064,339578781,1317051519,5
10496,116920065,1317051539,1317051554,2
10497,116920066,1317051674,1317051514,2
10498,116920067,1317051691,1317051525,2
